Correlation Matrix
,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
sepal length (cm),1.0,-0.11756978413300088,0.8717537758865838,0.8179411262715758
sepal width (cm),-0.11756978413300088,1.0,-0.42844010433053864,-0.3661259325364377
petal length (cm),0.8717537758865838,-0.42844010433053864,1.0,0.962865431402796
petal width (cm),0.8179411262715758,-0.3661259325364377,0.962865431402796,1.0

Covariance Matrix
,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
sepal length (cm),0.6856935123042508,-0.04243400447427291,1.2743154362416103,0.5162706935123044
sepal width (cm),-0.04243400447427291,0.18997941834451895,-0.3296563758389262,-0.12163937360178968
petal length (cm),1.2743154362416103,-0.3296563758389262,3.116277852348994,1.2956093959731547
petal width (cm),0.5162706935123044,-0.12163937360178968,1.2956093959731547,0.5810062639821028
